TagName,DateTime,Value,vValue,Unit,StartDateTime
03FEIND.03FR7.PNT,1/1/2023 00:05:00,150492.921875,150492.921875,NMC/H,1/1/2023 00:00:00
03FEIND.03FR7.PNT,1/1/2023 00:10:00,150481.65625,150481.65625,NMC/H,1/1/2023 00:05:00
03FEIND.03FR7.PNT,1/1/2023 00:15:00,150659.734375,150659.734375,NMC/H,1/1/2023 00:10:00
03FEIND.03FR7.PNT,1/1/2023 00:20:00,150738.390625,150738.390625,NMC/H,1/1/2023 00:15:00
03FEIND.03FR7.PNT,1/1/2023 00:25:00,151313.953125,151313.953125,NMC/H,1/1/2023 00:20:00
03FEIND.03FR7.PNT,1/1/2023 00:30:00,151005.890625,151005.890625,NMC/H,1/1/2023 00:25:00
03FEIND.03FR7.PNT,1/1/2023 00:35:00,150586.65625,150586.65625,NMC/H,1/1/2023 00:30:00
03FEIND.03FR7.PNT,1/1/2023 00:40:00,150594.15625,150594.15625,NMC/H,1/1/2023 00:35:00
03FEIND.03FR7.PNT,1/1/2023 00:45:00,150824.484375,150824.484375,NMC/H,1/1/2023 00:40:00
03FEIND.03FR7.PNT,1/1/2023 00:50:00,150489.15625,150489.15625,NMC/H,1/1/2023 00:45:00
03FEIND.03FR7.PNT,1/1/2023 00:55:00,150682.203125,150682.203125,NMC/H,1/1/2023 00:50:00
03FEIND.03FR7.PNT,1/1/2023 01:00:00,151179.59375,151179.59375,NMC/H,1/1/2023 00:55:00
03FEIND.03FR7.PNT,1/1/2023 01:05:00,150228.25,150228.25,NMC/H,1/1/2023 01:00:00
03FEIND.03FR7.PNT,1/1/2023 01:10:00,150397.234375,150397.234375,NMC/H,1/1/2023 01:05:00
03FEIND.03FR7.PNT,1/1/2023 01:15:00,150421.640625,150421.640625,NMC/H,1/1/2023 01:10:00
03FEIND.03FR7.PNT,1/1/2023 01:20:00,150537.921875,150537.921875,NMC/H,1/1/2023 01:15:00
03FEIND.03FR7.PNT,1/1/2023 01:25:00,150659.734375,150659.734375,NMC/H,1/1/2023 01:20:00
03FEIND.03FR7.PNT,1/1/2023 01:30:00,150753.359375,150753.359375,NMC/H,1/1/2023 01:25:00
03FEIND.03FR7.PNT,1/1/2023 01:35:00,150213.234375,150213.234375,NMC/H,1/1/2023 01:30:00
03FEIND.03FR7.PNT,1/1/2023 01:40:00,150627.875,150627.875,NMC/H,1/1/2023 01:35:00
03FEIND.03FR7.PNT,1/1/2023 01:45:00,150194.4375,150194.4375,NMC/H,1/1/2023 01:40:00
03FEIND.03FR7.PNT,1/1/2023 01:50:00,150888.09375,150888.09375,NMC/H,1/1/2023 01:45:00
03FEIND.03FR7.PNT,1/1/2023 01:55:00,150429.140625,150429.140625,NMC/H,1/1/2023 01:50:00
03FEIND.03FR7.PNT,1/1/2023 02:00:00,150367.21875,150367.21875,NMC/H,1/1/2023 01:55:00
03FEIND.03FR7.PNT,1/1/2023 02:05:00,150340.9375,150340.9375,NMC/H,1/1/2023 02:00:00
03FEIND.03FR7.PNT,1/1/2023 02:10:00,150646.609375,150646.609375,NMC/H,1/1/2023 02:05:00
03FEIND.03FR7.PNT,1/1/2023 02:15:00,150444.140625,150444.140625,NMC/H,1/1/2023 02:10:00
03FEIND.03FR7.PNT,1/1/2023 02:20:00,151114.25,151114.25,NMC/H,1/1/2023 02:15:00
03FEIND.03FR7.PNT,1/1/2023 02:25:00,150545.421875,150545.421875,NMC/H,1/1/2023 02:20:00
03FEIND.03FR7.PNT,1/1/2023 02:30:00,150247.046875,150247.046875,NMC/H,1/1/2023 02:25:00
03FEIND.03FR7.PNT,1/1/2023 02:35:00,150708.421875,150708.421875,NMC/H,1/1/2023 02:30:00
03FEIND.03FR7.PNT,1/1/2023 02:40:00,150824.484375,150824.484375,NMC/H,1/1/2023 02:35:00
03FEIND.03FR7.PNT,1/1/2023 02:45:00,150794.546875,150794.546875,NMC/H,1/1/2023 02:40:00
03FEIND.03FR7.PNT,1/1/2023 02:50:00,150678.453125,150678.453125,NMC/H,1/1/2023 02:45:00
03FEIND.03FR7.PNT,1/1/2023 02:55:00,150646.609375,150646.609375,NMC/H,1/1/2023 02:50:00
03FEIND.03FR7.PNT,1/1/2023 03:00:00,150934.84375,150934.84375,NMC/H,1/1/2023 02:55:00
03FEIND.03FR7.PNT,1/1/2023 03:05:00,150749.625,150749.625,NMC/H,1/1/2023 03:00:00
03FEIND.03FR7.PNT,1/1/2023 03:10:00,150325.921875,150325.921875,NMC/H,1/1/2023 03:05:00
03FEIND.03FR7.PNT,1/1/2023 03:15:00,150432.890625,150432.890625,NMC/H,1/1/2023 03:10:00
03FEIND.03FR7.PNT,1/1/2023 03:20:00,150492.921875,150492.921875,NMC/H,1/1/2023 03:15:00
03FEIND.03FR7.PNT,1/1/2023 03:25:00,150571.65625,150571.65625,NMC/H,1/1/2023 03:20:00
03FEIND.03FR7.PNT,1/1/2023 03:30:00,150359.703125,150359.703125,NMC/H,1/1/2023 03:25:00
03FEIND.03FR7.PNT,1/1/2023 03:35:00,150923.625,150923.625,NMC/H,1/1/2023 03:30:00
03FEIND.03FR7.PNT,1/1/2023 03:40:00,150601.640625,150601.640625,NMC/H,1/1/2023 03:35:00
03FEIND.03FR7.PNT,1/1/2023 03:45:00,150322.15625,150322.15625,NMC/H,1/1/2023 03:40:00
03FEIND.03FR7.PNT,1/1/2023 03:50:00,150500.421875,150500.421875,NMC/H,1/1/2023 03:45:00
03FEIND.03FR7.PNT,1/1/2023 03:55:00,150295.875,150295.875,NMC/H,1/1/2023 03:50:00
03FEIND.03FR7.PNT,1/1/2023 04:00:00,150612.890625,150612.890625,NMC/H,1/1/2023 03:55:00
03FEIND.03FR7.PNT,1/1/2023 04:05:00,150280.84375,150280.84375,NMC/H,1/1/2023 04:00:00
03FEIND.03FR7.PNT,1/1/2023 04:10:00,150232.015625,150232.015625,NMC/H,1/1/2023 04:05:00
03FEIND.03FR7.PNT,1/1/2023 04:15:00,150318.40625,150318.40625,NMC/H,1/1/2023 04:10:00
03FEIND.03FR7.PNT,1/1/2023 04:20:00,150198.203125,150198.203125,NMC/H,1/1/2023 04:15:00
03FEIND.03FR7.PNT,1/1/2023 04:25:00,150564.15625,150564.15625,NMC/H,1/1/2023 04:20:00
03FEIND.03FR7.PNT,1/1/2023 04:30:00,149981.953125,149981.953125,NMC/H,1/1/2023 04:25:00
03FEIND.03FR7.PNT,1/1/2023 04:35:00,150239.53125,150239.53125,NMC/H,1/1/2023 04:30:00
03FEIND.03FR7.PNT,1/1/2023 04:40:00,150689.703125,150689.703125,NMC/H,1/1/2023 04:35:00
03FEIND.03FR7.PNT,1/1/2023 04:45:00,150659.734375,150659.734375,NMC/H,1/1/2023 04:40:00
03FEIND.03FR7.PNT,1/1/2023 04:50:00,150318.40625,150318.40625,NMC/H,1/1/2023 04:45:00
03FEIND.03FR7.PNT,1/1/2023 04:55:00,150700.9375,150700.9375,NMC/H,1/1/2023 04:50:00
03FEIND.03FR7.PNT,1/1/2023 05:00:00,150265.828125,150265.828125,NMC/H,1/1/2023 04:55:00
03FEIND.03FR7.PNT,1/1/2023 05:05:00,150605.390625,150605.390625,NMC/H,1/1/2023 05:00:00
03FEIND.03FR7.PNT,1/1/2023 05:10:00,150447.90625,150447.90625,NMC/H,1/1/2023 05:05:00
03FEIND.03FR7.PNT,1/1/2023 05:15:00,150504.171875,150504.171875,NMC/H,1/1/2023 05:10:00
03FEIND.03FR7.PNT,1/1/2023 05:20:00,150730.890625,150730.890625,NMC/H,1/1/2023 05:15:00
03FEIND.03FR7.PNT,1/1/2023 05:25:00,150440.390625,150440.390625,NMC/H,1/1/2023 05:20:00
03FEIND.03FR7.PNT,1/1/2023 05:30:00,150425.390625,150425.390625,NMC/H,1/1/2023 05:25:00
03FEIND.03FR7.PNT,1/1/2023 05:35:00,150646.609375,150646.609375,NMC/H,1/1/2023 05:30:00
03FEIND.03FR7.PNT,1/1/2023 05:40:00,150404.75,150404.75,NMC/H,1/1/2023 05:35:00
03FEIND.03FR7.PNT,1/1/2023 05:45:00,150337.171875,150337.171875,NMC/H,1/1/2023 05:40:00
