iter	Passed	Remaining
0	240	47804
1	349	34604
2	475	31201
3	588	28817
4	707	27602
5	830	26843
6	966	26661
7	1118	26838
8	1282	27217
9	1423	27045
10	1579	27141
11	1702	26670
12	1836	26411
13	1963	26080
14	2095	25849
15	2216	25493
16	2338	25173
17	2455	24825
18	2586	24638
19	2729	24566
20	2871	24476
21	3191	25820
22	3370	25936
23	3498	25652
24	3612	25285
25	3739	25028
26	3871	24804
27	4031	24763
28	4264	25144
29	4393	24895
30	4518	24635
31	4692	24635
32	4848	24535
33	4957	24206
34	5089	23993
35	5235	23851
36	5373	23670
37	5497	23436
38	5616	23186
39	5764	23057
40	5883	22817
41	6092	22920
42	6260	22859
43	6370	22587
44	6500	22388
45	6620	22163
46	6748	21967
47	6862	21730
48	6988	21537
49	7102	21307
50	7222	21100
51	7338	20886
52	7463	20699
53	7575	20482
54	7707	20320
55	7826	20124
56	7932	19901
57	8035	19672
58	8154	19489
59	8264	19282
60	8368	19068
61	8467	18847
62	8579	18657
63	8701	18491
64	8806	18291
65	8905	18081
66	9015	17897
67	9127	17718
68	9244	17551
69	9373	17407
70	9502	17265
71	9615	17094
72	9726	16921
73	9836	16748
74	9939	16565
75	10053	16402
76	10163	16234
77	10279	16077
78	10385	15906
79	10487	15730
80	10591	15559
81	10690	15384
82	10790	15210
83	10901	15054
84	11082	14994
85	11277	14949
86	11389	14793
87	11502	14639
88	11618	14490
89	11723	14328
90	11826	14166
91	11934	14009
92	12048	13862
93	12168	13721
94	12279	13571
95	12389	13421
96	12508	13281
97	12658	13175
98	12853	13113
99	13011	13011
100	13127	12867
101	13247	12728
102	13364	12585
103	13479	12443
104	13601	12306
105	13734	12179
106	13867	12052
107	14033	11954
108	14220	11872
109	14328	11723
110	14441	11579
111	14551	11433
112	14669	11294
113	14795	11161
114	14911	11021
115	15021	10877
116	15143	10742
117	15319	10645
118	15492	10545
119	15610	10406
120	15721	10264
121	15836	10124
122	15945	9982
123	16051	9838
124	16163	9698
125	16278	9560
126	16390	9421
127	16498	9280
128	16607	9140
129	16721	9003
130	16840	8870
131	16945	8729
132	17054	8591
133	17187	8465
134	17306	8332
135	17409	8192
136	17519	8056
137	17665	7936
138	17800	7811
139	17943	7690
140	18057	7556
141	18193	7430
142	18307	7297
143	18419	7163
144	18535	7030
145	18645	6896
146	18759	6763
147	18869	6629
148	18983	6497
149	19096	6365
150	19203	6231
151	19324	6102
152	19443	5972
153	19559	5842
154	19685	5715
155	19810	5587
156	19929	5458
157	20043	5328
158	20164	5199
159	20272	5068
160	20384	4937
161	20489	4806
162	20592	4674
163	20696	4543
164	20808	4413
165	20919	4284
166	21016	4152
167	21120	4022
168	21243	3896
169	21355	3768
170	21456	3638
171	21556	3509
172	21665	3381
173	21772	3253
174	21875	3125
175	21987	2998
176	22104	2872
177	22220	2746
178	22324	2619
179	22424	2491
180	22524	2364
181	22640	2239
182	22753	2113
183	22863	1988
184	22965	1862
185	23064	1736
186	23179	1611
187	23282	1486
188	23388	1361
189	23491	1236
190	23594	1111
191	23706	987
192	23815	863
193	23925	739
194	24040	616
195	24152	492
196	24269	369
197	24382	246
198	24488	123
199	24592	0
